name,iso_a3,currency_code,local_price,dollar_ex,dollar_price
Denmark,DNK,DKK,67,7.44,9.01
Switzerland,CHE,CHF,8.4,0.977,8.6
Israel,ISR,ILS,29,3.42,8.48
Norway,NOR,NOK,83,10.01,8.29
Sweden,SWE,SEK,85,10.72,7.93
Hong Kong,HKG,HKD,59,7.84,7.53
Nigeria,NGA,NGN,3000,426.1,7.04
Maldives,MDV,MVR,105,15.32,6.85
Saudi Arabia,SAU,SAR,25,3.75,6.67
New Zealand,NZL,NZD,11,1.65,6.67
Australia,AUS,AUD,9.4,1.48,6.35
United States of America,USA,USD,6.09,1,6.09
Argentina,ARG,ARS,850,140.74,6.04
Euro Area,EUZ,EUR,5.82,1,5.82
United Kingdom,GBR,GBP,4.99,0.86,5.8
Canada,CAN,CAD,7.39,1.31,5.64
Thailand,THA,THB,189,36.42,5.19
Iraq,IRQ,IQD,7500,1459.43,5.14
Brazil,BRA,BRL,26.9,5.24,5.13
Nicaragua,NIC,NIO,176,35.7,4.93
Morocco,MAR,MAD,52,10.59,4.91
Kenya,KEN,KES,590,120.34,4.9
Vietnam,VNM,VND,115000,23702,4.85
Singapore,SGP,SGD,6.7,1.4,4.79
Japan,JPN,JPY,690,144.09,4.79
South Korea,KOR,KRW,6400,1381,4.63
Bangladesh,BGD,BDT,439,95.06,4.62
Kuwait,KWT,KWD,1.4,0.309,4.53
Kazakhstan,KAZ,KZT,2000,473.86,4.22
Uruguay,URY,UYU,169,40.39,4.18
Azerbaijan,AZE,AZN,6.9,1.7,4.06
Czech Republic,CZE,CZK,99,24.61,4.02
Hungary,HUN,HUF,1590,396.42,4.01
Taiwan,TWN,TWD,123,30.91,3.98
Croatia,HRV,HRK,29,7.52,3.86
Russia,RUS,RUB,239.99,62.45,3.84
Poland,POL,PLN,17.99,4.71,3.82
Turkey,TUR,TRY,69,18.24,3.78
India,IND,INR,299,79.7,3.75
Guatemala,GTM,GTQ,29,7.75,3.74
Indonesia,IDN,IDR,54545,14890.02,3.66
Qatar,QAT,QAR,13,3.64,3.57
Egypt,EGY,EGP,66,19.26,3.43
Mongolia,MNG,MNT,10900,3227,3.38
Peru,PER,PEN,12.9,3.89,3.32
Belarus,BLR,BYN,7.9,2.52,3.13
Philippines,PHL,PHP,177,57.18,3.1
Pakistan,PAK,PKR,540,222.74,2.42
South Africa,ZAF,ZAR,29.9,17.3,1.73
