name,iso_a3,currency_code,local_price,dollar_ex,dollar_price
United States of America,USA,USD,1.6,1.0,1.60
Australia,AUS,AUD,1.75,1.6,1.07
Belgium,BEL,BEF,90,42.0,2.14
Brazil,BRA,BRC,2.5,13.8,0.18
Britain,GBR,GBP,1.1,0.7,1.64
Canada,CAN,CAD,1.89,1.4,1.36
France,FRA,FRF,16.4,6.7,2.47
Hong Kong,HKG,HKD,7.6,7.8,0.97
Ireland,IRL,IEP,1.18,0.7,1.59
Japan,JPN,JPY,370,154.0,2.40
Singapore,SGP,SGD,2.8,2.2,1.30
Sweden,SWE,SEK,16.5,6.9,2.40
West Germany,DEU,DEM,4.25,2.0,2.10
United States,USA,USD,1.6,1.0,1.60
Belgium,BEL,BEF,90,39.1,2.30
Britain,GBR,GBP,1.13,0.7,1.66
Denmark,DNK,DKK,21.5,7.2,2.99
France,FRA,FRF,17.4,6.3,2.76
Netherlands,NLD,NLG,4.5,2.1,2.11
Ireland,IRL,IEP,1.18,0.7,1.69
Italy,ITA,ITL,3300,1341.5,2.46
West Germany,DEU,DEM,4.1,1.9,2.17
United States,USA,USD,2.39,1.0,2.39
Australia,AUS,AUD,1.95,1.4,1.43
Belgium,BEL,BEF,90,34.8,2.59
Britain,GBR,GBP,1.19,0.5,2.20
Canada,CAN,CAD,2.05,1.2,1.65
Denmark,DNK,DKK,22.75,6.4,3.58
France,FRA,FRF,17.3,5.6,3.07
Netherlands,NLD,NLG,4.85,1.9,2.61
Hong Kong,HKG,HKD,7.6,7.8,0.97
Ireland,IRL,IEP,1.22,0.6,1.97
Italy,ITA,ITL,3300,1229.0,2.69
Japan,JPN,JPY,370,124.0,2.98
Singapore,SGP,SGD,2.8,2.0,1.40
Spain,ESP,ESP,285,111.0,2.57
Sweden,SWE,SEK,18.5,5.9,3.14
West Germany,DEU,DEM,4.1,1.7,2.47
United States,USA,USD,2.02,1.0,2.02
Australia,AUS,AUD,2.1,1.2,1.69
Belgium,BEL,BEF,90,39.5,2.28
Britain,GBR,GBP,1.26,0.6,2.14
Canada,CAN,CAD,2.15,1.2,1.81
Denmark,DNK,DKK,24.75,7.3,3.38
France,FRA,FRF,17.7,6.4,2.78
Netherlands,NLD,NLG,5.1,2.1,2.39
Hong Kong,HKG,HKD,7.6,7.8,0.98
Ireland,IRL,IEP,1.3,0.7,1.83
Italy,ITA,ITL,3300,1382.0,2.39
Japan,JPN,JPY,370,133.0,2.78
Singapore,SGP,SGD,2.8,2.0,1.43
South Korea,KOR,KRW,2400,666.0,3.60
Spain,ESP,ESP,280,117.0,2.39
Sweden,SWE,SEK,21,6.4,3.28
West Germany,DEU,DEM,4.3,1.9,2.28
Yugoslavia,YUG,YUD,7000,9001.0,0.78
United States,USA,USD,2.2,1.0,2.20
Australia,AUS,AUD,2.3,1.3,1.74
Belgium,BEL,BEF,97,34.7,2.80
Britain,GBR,GBP,1.4,0.6,2.30
Canada,CAN,CAD,2.19,1.2,1.89
Denmark,DNK,DKK,25.5,6.4,3.99
France,FRA,FRF,17.7,5.6,3.14
Netherlands,NLD,NLG,5.25,1.9,2.79
Hong Kong,HKG,HKD,8.6,7.8,1.10
Ireland,IRL,IEP,1.3,0.6,2.06
Italy,ITA,ITL,3900,1230.0,3.17
Japan,JPN,JPY,370,159.0,2.33
Singapore,SGP,SGD,2.6,1.9,1.38
South Korea,KOR,KRW,2100,707.0,2.97
Soviet Union,SUN,SUR,3.75,0.6,6.25
Spain,ESP,ESP,295,106.0,2.78
Sweden,SWE,SEK,24,6.1,3.93
West Germany,DEU,DEM,4.3,1.7,2.56
Yugoslavia,YUG,YUN,16,11.7,1.37
United States,USA,USD,2.25,1.0,2.25
Australia,AUS,AUD,2.45,1.3,1.93
Belgium,BEL,BEF,100,34.5,2.90
Britain,GBR,GBP,1.67,0.6,2.98
Canada,CAN,CAD,2.35,1.2,2.04
Denmark,DNK,DKK,26.75,6.4,4.17
France,FRA,FRF,18,5.7,3.19
Germany,DEU,DEM,4.3,1.7,2.57
Netherlands,NLD,NLG,5.25,1.9,2.79
Hong Kong,HKG,HKD,8.9,7.8,1.14
Hungary,HUN,HUF,115,75.1,1.53
Ireland,IRL,IEP,1.4,0.6,2.26
Italy,ITA,ITL,3600,1239.0,2.91
Japan,JPN,JPY,380,135.0,2.81
Singapore,SGP,SGD,2.8,1.8,1.58
South Korea,KOR,KRW,2100,721.0,2.91
Soviet Union,SUN,SUR,10,1.7,5.75
Spain,ESP,ESP,350,103.0,3.40
Sweden,SWE,SEK,26,6.0,4.30
Yugoslavia,YUG,YUN,32,15.1,2.12
United States,USA,USD,2.19,1.0,2.19
Argentina,ARG,ARS,3.3,1.0,3.33
Australia,AUS,AUD,2.54,1.3,1.94
Belgium,BEL,BEF,108,33.6,3.22
Brazil,BRA,BRE,3800,2153.0,1.76
Britain,GBR,GBP,1.74,0.6,3.05
Canada,CAN,CAD,2.76,1.2,2.32
China,CHN,CNY,6.3,5.4,1.16
Denmark,DNK,DKK,27.25,6.3,4.31
France,FRA,FRF,18.1,5.6,3.26
Germany,DEU,DEM,4.5,1.6,2.74
Netherlands,NLD,NLG,5.35,1.8,2.91
Hong Kong,HKG,HKD,8.9,7.7,1.15
Hungary,HUN,HUF,133,79.7,1.67
Ireland,IRL,IEP,1.45,0.6,2.38
Italy,ITA,ITL,4100,1233.0,3.33
Japan,JPN,JPY,380,133.0,2.86
Russia,RUS,RUR,58,99.0,0.59
Singapore,SGP,SGD,4.75,1.7,2.88
South Korea,KOR,KRW,2300,778.0,2.96
Spain,ESP,ESP,315,102.0,3.09
Sweden,SWE,SEK,25.5,5.9,4.30
Venezuela,VEN,VEB,170,60.6,2.80
United States,USA,USD,2.28,1.0,2.28
Argentina,ARG,ARS,3.6,1.0,3.60
Australia,AUS,AUD,2.45,1.4,1.76
Belgium,BEL,BEF,109,32.5,3.36
Brazil,BRA,BRE,77000,27521.0,2.80
Britain,GBR,GBP,1.79,0.6,2.79
Canada,CAN,CAD,2.76,1.3,2.19
China,CHN,CNY,8.5,5.7,1.50
Denmark,DNK,DKK,25.75,6.1,4.25
France,FRA,FRF,18.5,5.3,3.46
Germany,DEU,DEM,4.6,1.6,2.91
Netherlands,NLD,NLG,5.45,1.8,3.08
Hong Kong,HKG,HKD,9,7.7,1.16
Hungary,HUN,HUF,157,88.2,1.78
Ireland,IRL,IEP,1.48,1.5,0.96
Italy,ITA,ITL,4500,1523.0,2.95
Japan,JPN,JPY,391,113.0,3.46
Malaysia,MYS,MYR,3.35,2.6,1.30
Mexico,MEX,MXN,7.9,3.1,2.55
Russia,RUS,RUR,780,686.0,1.14
South Korea,KOR,KRW,2300,796.0,2.89
Spain,ESP,ESP,325,114.0,2.85
Sweden,SWE,SEK,25.5,7.4,3.43
Switzerland,CHE,CHF,5.7,1.5,3.93
Thailand,THA,THB,48,25.2,1.91
United States,USA,USD,2.3,1.0,2.30
Argentina,ARG,ARS,3.6,1.0,3.60
Australia,AUS,AUD,2.45,1.4,1.73
Austria,AUT,ATS,34,12.0,2.83
Belgium,BEL,BEF,109,35.2,3.10
Brazil,BRA,BRR,1500,959.0,1.56
Britain,GBR,GBP,1.81,0.7,2.64
Canada,CAN,CAD,2.86,1.4,2.06
Chile,CHL,CLP,948,414.0,2.29
China,CHN,CNY,9,8.7,1.03
Czechia,CZE,CZK,50,29.7,1.68
Denmark,DNK,DKK,25.75,6.7,3.85
France,FRA,FRF,18.5,5.8,3.17
Germany,DEU,DEM,4.6,1.7,2.69
Greece,GRC,GRD,620,251.0,2.47
Netherlands,NLD,NLG,5.45,1.9,2.85
Hong Kong,HKG,HKD,9.2,7.7,1.19
Hungary,HUN,HUF,169,103.0,1.64
Italy,ITA,ITL,4550,1641.0,2.77
Japan,JPN,JPY,391,104.0,3.76
Malaysia,MYS,MYR,3.77,2.7,1.40
Mexico,MEX,MXN,8.1,3.4,2.41
Poland,POL,PLN,31000,22433.0,1.38
Portugal,PRT,PTE,440,174.0,2.53
Russia,RUS,RUR,2900,1775.0,1.63
Singapore,SGP,SGD,2.98,1.6,1.90
South Korea,KOR,KRW,2300,810.0,2.84
Spain,ESP,ESP,345,138.0,2.50
