name,dollar_price
Switzerland,17.37
Sweden,14.43
Norway,14.36
Iceland,14.32
Slovenia,14.18
Slovakia,13.41
Belgium,12.64
Cayman Islands,12.00
Spain,11.98
Barbados,11.88
Luxembourg,11.75
Chile,11.35
Costa Rica,10.90
Uruguay,10.90
Hungary,10.30
United States,10.16
Singapore,9.77
France,9.66
Cyprus,9.56
Portugal,9.48
Romania,9.45
United Kingdom,9.35
Ecuador,9.25
New Zealand,9.12
Ireland,9.04
Canada,8.97
Jordan,8.88
United Arab Emirates,8.71
Lithuania,8.69
Georgia,8.67
Qatar,8.51
Saudi Arabia,8.27
Netherlands,8.25
Mauritius,8.09
South Korea,8.05
Australia,8.01
Italy,7.97
Puerto Rico,7.87
Trinidad and Tobago,7.81
Grenada,7.77
Mexico,7.40
Bulgaria,7.38
Kuwait,7.35
Germany,6.85
Morocco,6.61
Latvia,6.49
Taiwan,6.35
Hong Kong,6.18
Poland,6.11
Brazil,6.00
Japan,5.83
Dominican Republic,5.75
Malaysia,5.46
Panama,5.00
Czech Republic,4.95
Thailand,4.92
South Africa,4.88
Kenya,4.87
Russia,4.80
Philippines,4.57
Argentina,4.51
India,4.48
Peru,4.48
Guatemala,4.10
Belize,4.07
El Salvador,4.00
Honduras,3.86
Austria,3.84
Bosnia & Hertzegovina,3.39
Pakistan,3.16
Colombia,2.96
Sri Lanka,2.95
Indonesia,2.67
Bangladesh,1.60
